taxon_id,rank,organism_name,parent,parent_rank
295577,genus,Chthoniobacter,1836792,family
302781,genus,Monocercomonoides,302780,family
305399,genus,Chrysoporthe,399129,family
305899,genus,Endozoicomonas,224379,family
308865,genus,Elizabethkingia,49546,family
309357,genus,Saccharina,33636,family
310748,genus,Endornavirus,564644,family
311453,genus,Anncaliia,307623,family
315393,genus,Mimivirus,549779,family
316612,genus,Methylibium,80840,order
316625,genus,Saccharophagus,1706371,family
317045,genus,Kuraishia,4892,order
318147,genus,Paucibacter,80840,order
318478,genus,Dracunculus <nematode>,318477,family
323449,genus,Pontibacter,1853232,family
324777,genus,Marssonina,76657,family
324902,genus,Marnavirus,324901,family
327159,genus,Candidatus Accumulibacter,28216,class
329878,genus,Cryomyces,147541,class
332102,genus,Fluviicola,1853230,family
332162,genus,Candidatus Solibacter,332161,family
332248,genus,Truepera,332247,family
333921,genus,Xipapillomavirus,151340,family
336809,genus,Candidatus Sulcia,200644,order
340070,genus,Criblamydia,412447,family
341940,genus,Betalipothrixvirus,10477,family
349742,genus,Sedimenticola,1236,class
352476,genus,Salterprovirus,10239,superkingdom
357349,genus,Halocafeteria,33651,order
358905,genus,Serendipita,297313,order
360731,genus,Candidatus Jettenia,1127830,family
361050,genus,Rubritalea,1648490,family
361607,genus,Patulibacter,361606,family
363276,genus,Ktedonobacter,388449,family
364710,genus,Endocarpon,146292,family
375928,genus,Natranaerobius,485255,family
377315,genus,Mariprofundus,580372,family
379546,genus,Aciduliprofundum,28890,phylum
391952,genus,Aquincola,80840,order
395331,genus,Methanoregula,1198451,family
399320,genus,Sphaerochaeta,137,family
401624,genus,Ceraceosorus,742847,family
409206,genus,Beverwykella,45307,family
411566,genus,Candidatus Midichloria,1328881,family
412592,genus,Thermosulfidibacter,32069,order
414715,genus,Actinospica,414713,family
414878,genus,Catenulispora,414877,family
416212,genus,Ferrovum,1442156,family
