taxon_id,rank,organism_name,parent,parent_rank
1644061,family,Natrialbaceae,1644060,order
1647988,family,Akkermansiaceae,48461,order
1655514,family,Pelagibacteraceae,54526,order
1661063,family,Fusarividae,10239,superkingdom
1663426,family,Fimbriimonadaceae,1663425,order
1676650,family,Limnochordaceae,1676649,order
1706371,family,Cellvibrionaceae,1706369,order
1714267,family,Sphaerolipoviridae,10239,superkingdom
1756146,family,Togniniaceae,1775898,order
1759442,family,Trichosporonaceae,1851469,order
1769717,family,Mesoaciditogaceae,1769716,order
1783343,family,Endomicrobiaceae,1783344,order
1799696,family,Sporidiobolaceae,231213,order
1812917,family,Fibromonadaceae,1812916,order
1813606,family,Balneolaceae,1853223,order
1836792,family,Chthoniobacteraceae,1836787,order
1843491,family,Selenomonadaceae,909929,order
1851551,family,Mrakiaceae,90883,order
